osmid,y,x,street_count,highway,ref,geometry
2376737510,22.5271998,114.0620215,3,,,POINT (114.0620215 22.5271998)
2376751145,22.5232942,114.0615108,3,,,POINT (114.0615108 22.5232942)
2376751150,22.5224258,114.0614909,1,,,POINT (114.0614909 22.5224258)
2376751183,22.5248365,114.0611282,3,,,POINT (114.0611282 22.5248365)
2380017690,22.526058,114.0663957,3,,,POINT (114.0663957 22.526058)
2380017692,22.5287541,114.0658675,1,,,POINT (114.0658675 22.5287541)
2380017696,22.5287688,114.0673337,4,,,POINT (114.0673337 22.5287688)
2380017730,22.5247851,114.0658896,3,,,POINT (114.0658896 22.5247851)
2380017739,22.5201459,114.0621352,3,,,POINT (114.0621352 22.5201459)
2380017781,22.5261184,114.0662283,4,,,POINT (114.0662283 22.5261184)
2530287134,22.5259538,114.0632183,4,,,POINT (114.0632183 22.5259538)
2784297880,22.5263526,114.070038,3,,,POINT (114.070038 22.5263526)
2784308457,22.5258704,114.0709843,5,,,POINT (114.0709843 22.5258704)
2784308459,22.5260301,114.0710427,4,,,POINT (114.0710427 22.5260301)
2784308483,22.5279293,114.0717392,4,,,POINT (114.0717392 22.5279293)
2784308484,22.5272427,114.0714964,3,,,POINT (114.0714964 22.5272427)
2784308485,22.5287586,114.072055,3,,,POINT (114.072055 22.5287586)
2784308486,22.5287317,114.0721461,4,,,POINT (114.0721461 22.5287317)
2784308499,22.5268554,114.0713445,3,,,POINT (114.0713445 22.5268554)
2784308501,22.5237196,114.0701977,4,,,POINT (114.0701977 22.5237196)
2784845946,22.5279832,114.0715574,4,,,POINT (114.0715574 22.5279832)
2784845948,22.5254689,114.0670481,3,,,POINT (114.0670481 22.5254689)
2784845951,22.5265862,114.0692642,3,,,POINT (114.0692642 22.5265862)
2784845982,22.5273525,114.0697175,3,,,POINT (114.0697175 22.5273525)
2784845984,22.526911,114.0711665,3,,,POINT (114.0711665 22.526911)
2784845998,22.5221643,114.064825,3,,,POINT (114.064825 22.5221643)
2784846013,22.5271282,114.0718536,3,,,POINT (114.0718536 22.5271282)
2784846055,22.5272794,114.0695241,3,,,POINT (114.0695241 22.5272794)
2876869778,22.5249717,114.0686285,3,,,POINT (114.0686285 22.5249717)
3084586665,22.525932,114.0712702,3,,,POINT (114.0712702 22.525932)
3084586705,22.520847,114.070153,3,,,POINT (114.070153 22.520847)
3084586786,22.5252982,114.0718176,3,,,POINT (114.0718176 22.5252982)
3084586845,22.52601,114.0727691,1,,,POINT (114.0727691 22.52601)
5435015992,22.5239667,114.0667488,2,,,POINT (114.0667488 22.5239667)
5435015996,22.5239686,114.0665482,3,,,POINT (114.0665482 22.5239686)
5435820744,22.5208036,114.0711332,3,,,POINT (114.0711332 22.5208036)
5435820781,22.5243311,114.0682402,3,,,POINT (114.0682402 22.5243311)
6267508948,22.5262918,114.0672326,3,,,POINT (114.0672326 22.5262918)
7609471530,22.5287409,114.0676614,3,,,POINT (114.0676614 22.5287409)
7609471531,22.5288717,114.0680044,3,,,POINT (114.0680044 22.5288717)
7609471538,22.528593,114.0678979,4,,,POINT (114.0678979 22.528593)
7609471539,22.528509,114.0679253,3,,,POINT (114.0679253 22.528509)
7626252414,22.5201445,114.0619781,3,,,POINT (114.0619781 22.5201445)
7637610186,22.5242899,114.0683704,3,,,POINT (114.0683704 22.5242899)
7637610202,22.5257144,114.0687516,3,,,POINT (114.0687516 22.5257144)
7637610203,22.5255957,114.068861,3,,,POINT (114.068861 22.5255957)
7640444022,22.5264021,114.0610745,1,,,POINT (114.0610745 22.5264021)
7640444024,22.5268684,114.0616709,3,,,POINT (114.0616709 22.5268684)
7640444025,22.5269196,114.0620769,3,,,POINT (114.0620769 22.5269196)
7640452821,22.5297872,114.0619872,1,,,POINT (114.0619872 22.5297872)
7640452829,22.5279691,114.0630843,3,,,POINT (114.0630843 22.5279691)
7642948007,22.5232029,114.0623791,3,,,POINT (114.0623791 22.5232029)
7656278437,22.5206845,114.0604114,3,,,POINT (114.0604114 22.5206845)
7656278439,22.5203445,114.0605429,3,,,POINT (114.0605429 22.5203445)
7656321485,22.5213543,114.0613131,3,,,POINT (114.0613131 22.5213543)
7656321494,22.5212656,114.0613092,3,,,POINT (114.0613092 22.5212656)
7656321502,22.5208614,114.0606803,3,,,POINT (114.0606803 22.5208614)
7656321511,22.520828,114.0611547,4,,,POINT (114.0611547 22.520828)
7673048365,22.5222559,114.0636351,1,,,POINT (114.0636351 22.5222559)
7673048367,22.5226306,114.0635578,3,,,POINT (114.0635578 22.5226306)
7673048432,22.5261503,114.0651296,1,,,POINT (114.0651296 22.5261503)
7684656127,22.5298175,114.061887,1,,,POINT (114.061887 22.5298175)
7707208812,22.5293481,114.0630578,3,,,POINT (114.0630578 22.5293481)
7719250780,22.5250141,114.0684938,4,,,POINT (114.0684938 22.5250141)
7845674481,22.522626,114.0624894,3,,,POINT (114.0624894 22.522626)
7893911643,22.5215081,114.060889,3,,,POINT (114.060889 22.5215081)
8148654288,22.5297435,114.064424,3,,,POINT (114.064424 22.5297435)
8168061620,22.5218798,114.0607025,3,,,POINT (114.0607025 22.5218798)
8168061648,22.5236573,114.0603237,3,,,POINT (114.0603237 22.5236573)
8168061649,22.5226938,114.0605771,3,,,POINT (114.0605771 22.5226938)
8168061668,22.5276203,114.0615149,3,,,POINT (114.0615149 22.5276203)
8168061691,22.5259696,114.0601031,3,,,POINT (114.0601031 22.5259696)
8168061706,22.5276117,114.0603999,3,,,POINT (114.0603999 22.5276117)
8168061712,22.5268197,114.0609647,3,,,POINT (114.0609647 22.5268197)
8168061714,22.5268141,114.0606099,4,,,POINT (114.0606099 22.5268141)
8168061727,22.5256043,114.0631296,3,,,POINT (114.0631296 22.5256043)
8168061756,22.5259023,114.0601021,3,,,POINT (114.0601021 22.5259023)
8168061761,22.523639,114.06023,4,,,POINT (114.06023 22.523639)
8169270272,22.5245943,114.0600773,3,,,POINT (114.0600773 22.5245943)
8390279534,22.523083,114.063752,1,,,POINT (114.063752 22.523083)
8869146313,22.5293438,114.0622308,3,,,POINT (114.0622308 22.5293438)
8869146315,22.5293364,114.0615606,3,,,POINT (114.0615606 22.5293364)
8869177721,22.5297862,114.0622253,3,,,POINT (114.0622253 22.5297862)
8869177728,22.5259815,114.0622479,3,,,POINT (114.0622479 22.5259815)
8869177729,22.5259791,114.0618277,3,,,POINT (114.0618277 22.5259791)
8869177730,22.5259736,114.0608293,3,,,POINT (114.0608293 22.5259736)
8869177733,22.5259886,114.0631223,4,,,POINT (114.0631223 22.5259886)
8869177742,22.5259844,114.0627861,3,,,POINT (114.0627861 22.5259844)
8869177754,22.5262905,114.0631165,3,,,POINT (114.0631165 22.5262905)
8869177763,22.5259111,114.0618427,3,,,POINT (114.0618427 22.5259111)
8869177764,22.525906,114.0608402,3,,,POINT (114.0608402 22.525906)
8869177769,22.5259158,114.0627652,3,,,POINT (114.0627652 22.5259158)
8869177775,22.5259217,114.0631236,4,,,POINT (114.0631236 22.5259217)
8882291297,22.5237668,114.0665391,1,,,POINT (114.0665391 22.5237668)
8882319735,22.5258307,114.0710906,4,,,POINT (114.0710906 22.5258307)
9021794154,22.5233204,114.06496,3,,,POINT (114.06496 22.5233204)
9666019868,22.5231605,114.0627706,3,,,POINT (114.0627706 22.5231605)
9666019883,22.521472,114.0608075,3,,,POINT (114.0608075 22.521472)
9666019885,22.5208839,114.0606021,3,,,POINT (114.0606021 22.5208839)
