osmid,y,x,street_count,ref,geometry
9902028287,22.5426658,114.0128883,1,,POINT (114.0128883 22.5426658)
9902028288,22.5429354,114.0136305,3,,POINT (114.0136305 22.5429354)
9903471992,22.5431416,114.0079713,1,,POINT (114.0079713 22.5431416)
9903471998,22.5418051,114.008545,3,,POINT (114.008545 22.5418051)
9903478939,22.544306,114.0178482,4,,POINT (114.0178482 22.544306)
9906874968,22.5446836,114.0170153,3,,POINT (114.0170153 22.5446836)
9906874971,22.5440885,114.0165719,3,,POINT (114.0165719 22.5440885)
9906876118,22.5442156,114.0178668,4,,POINT (114.0178668 22.5442156)
9906876119,22.5441854,114.0171308,4,,POINT (114.0171308 22.5441854)
9906876120,22.5442094,114.0172735,4,,POINT (114.0172735 22.5442094)
9906876127,22.5444791,114.0188776,3,南2出入口,POINT (114.0188776 22.5444791)
9906876217,22.544387,114.0188972,3,,POINT (114.0188972 22.544387)
9906876221,22.5436293,114.0173983,3,,POINT (114.0173983 22.5436293)
9906876239,22.5440961,114.0171488,4,,POINT (114.0171488 22.5440961)
9906876240,22.5441202,114.0172934,4,,POINT (114.0172934 22.5441202)
9906899020,22.5416858,114.0154388,4,,POINT (114.0154388 22.5416858)
9906899031,22.5420129,114.0175945,4,,POINT (114.0175945 22.5420129)
9906899032,22.5420711,114.017577,4,,POINT (114.017577 22.5420711)
9906899033,22.5420353,114.0177026,4,,POINT (114.0177026 22.5420353)
9906899034,22.5420956,114.0176968,4,,POINT (114.0176968 22.5420956)
9906899065,22.5403186,114.017944,4,,POINT (114.017944 22.5403186)
9906899066,22.5403334,114.0180154,4,,POINT (114.0180154 22.5403334)
9906899071,22.5402681,114.0180279,4,,POINT (114.0180279 22.5402681)
9906899072,22.5402524,114.017957,4,,POINT (114.017957 22.5402524)
9906899089,22.5407958,114.0130111,3,,POINT (114.0130111 22.5407958)
9906899106,22.5429825,114.0149983,4,,POINT (114.0149983 22.5429825)
9906899107,22.5433936,114.014855,3,,POINT (114.014855 22.5433936)
9906899122,22.5417297,114.015498,4,,POINT (114.015498 22.5417297)
9906899123,22.5416738,114.0155147,4,,POINT (114.0155147 22.5416738)
9906899143,22.5438537,114.0152486,3,,POINT (114.0152486 22.5438537)
9906911239,22.5437619,114.0147309,4,,POINT (114.0147309 22.5437619)
9906911240,22.5436585,114.0147653,4,,POINT (114.0147653 22.5436585)
9906911241,22.5436704,114.0148295,4,,POINT (114.0148295 22.5436704)
9906911242,22.5437734,114.014796,4,,POINT (114.014796 22.5437734)
9906911248,22.5451762,114.0142463,4,,POINT (114.0142463 22.5451762)
9906911249,22.5451938,114.0143078,4,,POINT (114.0143078 22.5451938)
9906911251,22.5429135,114.012208,5,,POINT (114.012208 22.5429135)
9906911252,22.5433438,114.0136426,3,,POINT (114.0136426 22.5433438)
9906911255,22.5424933,114.012437,3,,POINT (114.012437 22.5424933)
9906911268,22.543038,114.0122514,4,,POINT (114.0122514 22.543038)
9906911269,22.5429369,114.0122861,4,,POINT (114.0122861 22.5429369)
9906911275,22.5444352,114.0117718,4,,POINT (114.0117718 22.5444352)
9906911281,22.5432011,114.012792,3,,POINT (114.012792 22.5432011)
9906911283,22.5434701,114.012103,3,,POINT (114.012103 22.5434701)
9906911296,22.5492935,114.0067585,4,,POINT (114.0067585 22.5492935)
9906911297,22.5452965,114.0112908,3,,POINT (114.0112908 22.5452965)
9906911299,22.5489073,114.0074966,3,,POINT (114.0074966 22.5489073)
9906912233,22.5491239,114.0116451,4,,POINT (114.0116451 22.5491239)
9906912234,22.5490774,114.0116914,4,,POINT (114.0116914 22.5490774)
9906912235,22.5491609,114.0117061,4,,POINT (114.0117061 22.5491609)
9906912236,22.5491142,114.0117518,4,,POINT (114.0117518 22.5491142)
9906912237,22.5470955,114.0132111,4,,POINT (114.0132111 22.5470955)
9906912248,22.5482666,114.0103589,4,,POINT (114.0103589 22.5482666)
9906912250,22.547825,114.0093984,5,,POINT (114.0093984 22.547825)
9907679306,22.5486926,114.0039675,3,,POINT (114.0039675 22.5486926)
9909778120,22.5401095,114.0171272,3,,POINT (114.0171272 22.5401095)
9929029809,22.5404814,114.0192303,3,,POINT (114.0192303 22.5404814)
9929041529,22.5400141,114.0085308,3,,POINT (114.0085308 22.5400141)
